Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Euro area,EMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3697.018802,3781.072372,3764.680526,3823.275199,3857.726692,3847.363656,3839.538312,3757.022252,3730.593084,3511.498483,3626.788262,3486.121289,3445.377455,3404.769172,3265.989465,3329.025613,,,,,,,
Eritrea,ERI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,295.8322189,301.2790387,293.7963998,302.0603831,269.1032666,269.0784297,241.018606,244.9978949,224.3844275,234.0561655,235.3453778,236.8157203,240.5278737,241.9603157,245.0330608,,,,,,,,
Spain,ESP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3003.761672,3060.881809,3107.867341,3157.227264,3238.502447,3251.397133,3194.081246,3180.03342,3026.338408,2757.691412,2742.877182,2689.684337,2683.367935,2512.105919,2464.641291,2571.340962,,,,,,,
Estonia,EST,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3374.70839,3541.512051,3415.780621,3798.038257,3893.395472,3846.392943,3775.035083,4243.648,4105.417736,3648.978843,4222.73719,4237.729191,4174.387766,4623.279112,4592.616457,4173.326583,,,,,,,
Ethiopia,ETH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,472.7322006,476.3978817,476.3649428,477.4408335,477.798005,475.9016336,476.6418563,477.7688133,478.4467058,478.1947698,477.9759732,480.2358154,480.2631685,483.5346713,484.9604347,,,,,,,,
European Union,EUU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3428.550661,3515.27301,3512.654159,3576.33505,3607.523192,3605.71626,3618.41866,3554.786843,3533.711594,3321.214725,3447.866337,3335.420284,3288.068974,3242.443492,3123.421746,3278.352078,,,,,,,
Fragile and conflict affected situations,FCS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,837.6488153,846.2217601,850.0156641,852.0932041,847.754935,846.7192319,836.8398199,822.2314644,827.6527016,791.1804147,837.8070228,809.453783,807.3090215,789.6576048,715.3337159,,,,,,,,
Finland,FIN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,6262.192079,6410.625234,6728.581405,7077.026649,7134.854209,6562.022311,7111.856822,6974.896761,6669.173348,6268.300545,6828.783753,6537.637298,6275.770964,6116.227294,6213.357766,5924.700125,,,,,,,
Fiji,FJI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,768.4373031,660.629564,633.0095812,588.3356837,,,,,,,,,,,,,,,
France,FRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4134.874579,4245.315949,4224.718316,4270.12047,4300.95454,4286.543803,4188.389999,4115.173039,4110.284802,3913.225472,4016.658441,3846.928314,3836.514548,3833.324932,3659.087795,3692.017833,,,,,,,
Faroe Islands,FRO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1155.305652,1208.234412,1420.359008,1625.355667,1834.773589,2059.642624,2248.594042,2428.175979,2584.72679,2736.038153,2970.046841,2308.796615,1974.436831,2783.421633,2580.438314,,,,,,,,
United Kingdom,GBR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3785.753126,3784.928174,3685.869487,3731.609718,3694.478595,3686.359905,3598.810406,3441.640219,3361.980517,3145.585662,3230.615984,2972.153065,3042.859871,2987.700589,2777.310987,2764.516671,,,,,,,
Georgia,GEO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,703.7218083,640.3012376,639.4192305,684.5821684,707.9865762,727.880734,781.2476565,865.5928073,780.7194535,811.5319791,824.5430382,943.5439023,993.7399333,1048.341057,1180.272753,,,,,,,,
Ghana,GHA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,319.1561548,312.7735345,302.455988,278.5184885,271.024316,261.5999386,271.4408579,264.4814141,257.7808753,272.1946528,289.6193698,301.70651,318.5906335,325.2470055,320.3896404,,,,,,,,
Gibraltar,GIB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4608.665874,4721.582915,4763.337158,4798.028338,5086.502298,5177.979763,5305.67479,5229.197226,5254.325942,5579.966904,5533.427164,5297.246144,5344.309701,5672.148345,6040.459756,,,,,,,,
Guinea,GIN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,66.98816852,65.04582117,66.61625647,75.35910312,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,63.84515619,63.0565922,63.64512609,65.49140615,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,922.1218484,1444.388165,1660.006759,1853.893387,,,,,,,,,,,,,,,
Greece,GRC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2506.639948,2578.112105,2597.748289,2666.453637,2711.46679,2753.051201,2742.629961,2734.755835,2745.493459,2649.661201,2482.110116,2407.762736,2403.230472,2128.010669,2123.897891,2182.071093,,,,,,,
Grenada,GRD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,675.7003543,716.5272915,729.808628,724.9944059,,,,,,,,,,,,,,,
