Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Micronesia, Fed. Sts.",FSM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,124.678,168.682,143.013,143.013,143.013,121.011,121.011,132.012,110.01,146.68,102.676,117.344,124.678,135.679,135.679,143.013,143.013,,,,,,
Gabon,GAB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1041.428,1257.781,1184.441,1158.772,1213.777,1400.794,1444.798,1576.81,1602.479,1551.141,1954.511,2189.199,2310.21,2577.901,2493.56,2442.222,2460.557,,,,,,
United Kingdom,GBR,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,193925.628,190390.64,187512.045,189055.852,187695.395,193800.95,190379.639,184519.773,183078.642,173878.139,175319.27,165037.002,164545.624,157827.68,161381.003,166162.771,167816.588,,,,,,
Georgia,GEO,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2123.193,1675.819,1602.479,1716.156,1551.141,1866.503,2097.524,2522.896,2207.534,2808.922,2764.918,2709.913,2720.914,2658.575,2834.591,3219.626,3883.353,,,,,,
Ghana,GHA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,5317.15,5973.543,6475.922,6684.941,6402.582,6094.554,8459.769,8929.145,8239.749,6802.285,8096.736,8690.79,11763.736,11837.076,11741.734,12200.109,13256.205,,,,,,
Gibraltar,GIB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,333.697,344.698,348.365,355.699,385.035,399.703,418.038,414.371,425.372,462.042,465.709,451.041,462.042,491.378,528.048,579.386,634.391,,,,,,
Guinea,GIN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1492.469,1562.142,1624.481,1701.488,1763.827,1826.166,1892.172,1969.179,1998.515,2112.192,2486.226,2596.236,2423.887,2112.192,2167.197,2453.223,2746.583,,,,,,
"Gambia, The",GMB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,275.025,300.694,297.027,297.027,319.029,322.696,348.365,348.365,363.033,374.034,425.372,443.707,447.374,425.372,506.046,517.047,524.381,,,,,,
Guinea-Bissau,GNB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,146.68,150.347,154.014,194.351,201.685,212.686,216.353,231.021,227.354,234.688,238.355,245.689,253.023,256.69,271.358,278.692,293.36,,,,,,
Equatorial Guinea,GNQ,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,366.7,249.356,781.071,1826.166,649.059,1177.107,2416.553,3468.982,663.727,1235.779,1250.447,1778.495,759.069,1290.784,1331.121,935.085,729.733,,,,,,
